# Subnet,CountryCode,,City
2a06:a005:1860::/44,DE,DE-HH,Hamburg
2a06:a005:1863::/48,AQ,AQ-GB,Brunt Ice Shelf
,,,
2a06:a005:186a:0000::/56,AD,,
2a06:a005:186a:0100::/56,AE,,
2a06:a005:186a:0200::/56,AF,,
2a06:a005:186a:0300::/56,AG,,
2a06:a005:186a:0400::/56,AI,,
2a06:a005:186a:0500::/56,AL,,
2a06:a005:186a:0600::/56,AM,,
2a06:a005:186a:0700::/56,AO,,
2a06:a005:186a:0800::/56,AQ,,
2a06:a005:186a:0900::/56,AR,,
2a06:a005:186a:0a00::/56,AS,,
2a06:a005:186a:0b00::/56,AT,,
2a06:a005:186a:0c00::/56,AU,,
2a06:a005:186a:0d00::/56,AW,,
2a06:a005:186a:0e00::/56,AX,,
2a06:a005:186a:0f00::/56,AZ,,
2a06:a005:186a:1000::/56,BA,,
2a06:a005:186a:1100::/56,BB,,
2a06:a005:186a:1200::/56,BD,,
2a06:a005:186a:1300::/56,BE,,
2a06:a005:186a:1400::/56,BF,,
2a06:a005:186a:1500::/56,BG,,
2a06:a005:186a:1600::/56,BH,,
2a06:a005:186a:1700::/56,BI,,
2a06:a005:186a:1800::/56,BJ,,
2a06:a005:186a:1900::/56,BL,,
2a06:a005:186a:1a00::/56,BM,,
2a06:a005:186a:1b00::/56,BN,,
2a06:a005:186a:1c00::/56,BO,,
2a06:a005:186a:1d00::/56,BQ,,
2a06:a005:186a:1e00::/56,BR,,
2a06:a005:186a:1f00::/56,BS,,
2a06:a005:186a:2000::/56,BT,,
2a06:a005:186a:2100::/56,BV,,
2a06:a005:186a:2200::/56,BW,,
2a06:a005:186a:2300::/56,BY,,
2a06:a005:186a:2400::/56,BZ,,
2a06:a005:186a:2500::/56,CA,,
2a06:a005:186a:2600::/56,CC,,
2a06:a005:186a:2700::/56,CD,,
2a06:a005:186a:2800::/56,CF,,
2a06:a005:186a:2900::/56,CG,,
2a06:a005:186a:2a00::/56,CH,,
2a06:a005:186a:2b00::/56,CI,,
2a06:a005:186a:2c00::/56,CK,,
2a06:a005:186a:2d00::/56,CL,,
2a06:a005:186a:2e00::/56,CM,,
2a06:a005:186a:2f00::/56,CN,,
2a06:a005:186a:3000::/56,CO,,
2a06:a005:186a:3100::/56,CR,,
2a06:a005:186a:3200::/56,CU,,
2a06:a005:186a:3300::/56,CV,,
2a06:a005:186a:3400::/56,CW,,
2a06:a005:186a:3500::/56,CX,,
2a06:a005:186a:3600::/56,CY,,
2a06:a005:186a:3700::/56,CZ,,
2a06:a005:186a:3800::/56,DE,,
2a06:a005:186a:3900::/56,DJ,,
2a06:a005:186a:3a00::/56,DK,,
2a06:a005:186a:3b00::/56,DM,,
2a06:a005:186a:3c00::/56,DO,,
2a06:a005:186a:3d00::/56,DZ,,
2a06:a005:186a:3e00::/56,EC,,
